STATE,COUNTRY|Asia/Yangon
Jeonlla Buk-Do,Korea Republic of|Asia/Seoul
UlSan Si  ,Korea Republic of|Asia/Seoul
Hradec Kralove Region,Korea Republic of|Asia/Seoul
Daeku Si,Korea Republic of|Asia/Seoul
Kwangju Si,Korea Republic of|Asia/Seoul
Daejeon Si,Korea Republic of|Asia/Seoul
Inchon Si,Korea Republic of|Asia/Seoul
Kyungki-Do,Korea Republic of|Asia/Seoul
Kyungsang Nam-Do,Korea Republic of|Asia/Seoul
Kyungsang Buk-Do,Korea Republic of|Asia/Seoul
Chungchong Nam-Do,Korea Republic of|Asia/Seoul
Chungchong Buk-Do,Korea Republic of|Asia/Seoul
Vietnam,Viet Nam|Asia/Ho_Chi_Minh
Ho Chi Minh City,Viet Nam|Asia/Ho_Chi_Minh
HO CHI MINH CITY,Viet Nam|Asia/Ho_Chi_Minh
Hong Kong,China|Asia/Hong_Kong
Hong Kong,Hong Kong|Asia/Hong_Kong
Hong Kong Macao,China|Asia/Shanghai
Macao,China|Asia/Macau
Zhe Jiang  Fu Jian  Jiang Xi,China|Asia/Shanghai
All Regions,Macao|Asia/Macau
,Laos|Asia/Vientiane
Hu Nan  Guang Dong  Guang Xi,China|Asia/Shanghai
,China|Asia/Shanghai
Southern Taiwan,Taiwan|Asia/Taipei
Shan Dong  Jiang Su,China|Asia/Shanghai
Hei Long Jiang  Ji Lin  Liao Ning,China|Asia/Shanghai
XinJiang,China|Asia/Shanghai
Shan Xi  He Bei  Tian Jin,China|Asia/Shanghai
Bei Jing,China|Asia/Shanghai
He Nan  Hu Bei  An Hui,China|Asia/Shanghai
Nei Mogol Shan Xi He Bei Tian Jin,China|Asia/Shanghai
Shan Xi  Ning Xia  Gan Su  Qing Hai,China|Asia/Shanghai
Shan Dong  Jiang Su,CHINA|Asia/Shanghai
Shan Xi  Ning Xia  Gan Su  Qing Hai,CHINA|Asia/Shanghai
Inner Mongolia ,China|Asia/Shanghai
Gui Zhou  Si Chuan ,China|Asia/Shanghai
South Carolina,China|America/New_York
Hu Nan  Guang Dong  Guang Xi,CHINA|Asia/Shanghai
Hradec Kralove Region,China|Asia/Shanghai
Northern Taiwan,Taiwan|Asia/Taipei
Taipei,Taiwan|Asia/Taipei
Central Taiwan,Taiwan|Asia/Taipei
,Taiwan|Asia/Taipei
Eastern Taiwan,Taiwan|Asia/Taipei
All Regions,Bangladesh|Asia/Dhaka
,Bangladesh|Asia/Dhaka
,Maldives|Indian/Maldives
Spratly Is.,Malaysia|Asia/Manila
West Malaysia,Malaysia|Asia/Kuala_Lumpur
,Malaysia|Asia/Kuala_Lumpur
East Malaysia,Malaysia|Asia/Kuala_Lumpur
South Australia,Australia|Australia/Adelaide
Queensland,Australia|Australia/Brisbane
New South Wales,Australia|Australia/Sydney
Victoria,Australia|Australia/Melbourne
Northern Territory,Australia|Australia/Darwin
Australian Capital Territory,Australia|Australia/Sydney
Western Australia,Australia|Australia/Perth
Tasmania,Australia|Australia/Hobart
,Australia|Australia/Darwin
Nova Scotia,Australia|Australia/Sydney
Washington,Australia|America/New_York
DKI Jakarta,Indonesia|Asia/Jakarta
Jawa Tengah,Indonesia|Asia/Jakarta
Jawa Barat,Indonesia|Asia/Jakarta
Papua,Indonesia|Asia/Jayapura
DI Yogyakarta,Indonesia|Asia/Jakarta
Kalimantan Selatan,Indonesia|Asia/Makassar
Bali,Indonesia|Asia/Makassar
Riau,Indonesia|Asia/Jakarta
Jawa Timur,Indonesia|Asia/Jakarta
Kalimantan Timur,Indonesia|Asia/Makassar
Sumatera Utara,Indonesia|Asia/Jakarta
Banten,Indonesia|Asia/Jakarta
Sulawesi Selatan,Indonesia|Asia/Makassar
Nusa Tenggara Barat,Indonesia|Asia/Makassar
Kepulauan Riau,Indonesia|Asia/Jakarta
Jambi,Indonesia|Asia/Jakarta
Kalimantan Tengah,Indonesia|Asia/Pontianak
Bengkulu,Indonesia|Asia/Jakarta
Sumatera Selatan,Indonesia|Asia/Jakarta
Sumatera Barat,Indonesia|Asia/Jakarta
Aceh,Indonesia|Asia/Jakarta
Lampung,Indonesia|Asia/Jakarta
Papua Barat,Indonesia|Asia/Jayapura
Sulawesi Tenggara,Indonesia|Asia/Makassar
Maluku,Indonesia|Asia/Jayapura
Kepulauan Bangka Belitung,Indonesia|Asia/Jakarta
Sulawesi Tengah,Indonesia|Asia/Makassar
Sulawesi Barat,Indonesia|Asia/Makassar
Sulawesi Utara,Indonesia|Asia/Makassar
Kalimantan Barat,Indonesia|Asia/Pontianak
Central Visayas,Philippines|Asia/Manila
Zamboanga Peninsula,Philippines|Asia/Manila
Central Luzon,Philippines|Asia/Manila
Bicol Region,Philippines|Asia/Manila
Calabarzon,Philippines|Asia/Manila
Ilocos Region,Philippines|Asia/Manila
Western Visayas,Philippines|Asia/Manila
Cordillera Region,Philippines|Asia/Manila
Northern Mindanao,Philippines|Asia/Manila
Cagayan Valley,Philippines|Asia/Manila
Northern Luzon,Philippines|Asia/Manila
Soccsksargen,Philippines|Asia/Manila
Davao Region,Philippines|Asia/Manila
Eastern visayas,Philippines|Asia/Manila
,Philippines|Asia/Manila
Mimaropa,Philippines|Asia/Manila
Caraga,Philippines|Asia/Manila
Autonomous Region,Philippines|Asia/Shanghai
Narathiwat,Thailand|Asia/Bangkok
Bangkok,Thailand|Asia/Bangkok
Nonthaburi,Thailand|Asia/Bangkok
Ranong,Thailand|Asia/Bangkok
Chiang mai,Thailand|Asia/Bangkok
Ubon Ratchathani,Thailand|Asia/Bangkok
Chon Buri,Thailand|Asia/Bangkok
Rayong,Thailand|Asia/Bangkok
Phra Nakhon Si Ayutthaya,Thailand|Asia/Bangkok
,Thailand|Asia/Bangkok
Nakhon Ratchasima,Thailand|Asia/Bangkok
Surat Thani,Thailand|Asia/Bangkok
Phuket,Thailand|Asia/Bangkok
Pathum Thani,Thailand|Asia/Bangkok
Songkhla,Thailand|Asia/Bangkok
Krabi,Thailand|Asia/Bangkok
Surin,Thailand|Asia/Bangkok
Phitsanulok,Thailand|Asia/Bangkok
Chiang Mai,Thailand|Asia/Bangkok
Sukhothai,Thailand|Asia/Bangkok
Udon Thani,Thailand|Asia/Bangkok
Uttaradit,Thailand|Asia/Bangkok
Samut Prakan,Thailand|Asia/Bangkok
Phayao,Thailand|Asia/Bangkok
Sakon Nakhon,Thailand|Asia/Bangkok
Yasothon,Thailand|Asia/Bangkok
Samut Sakhon,Thailand|Asia/Bangkok
Pattani,Thailand|Asia/Bangkok
Kanchanaburi,Thailand|Asia/Bangkok
Uthai Thani,Thailand|Asia/Bangkok
Phichit,Thailand|Asia/Bangkok
Phetchaburi,Thailand|Asia/Bangkok
Phangnga,Thailand|Asia/Bangkok
Chumphon,Thailand|Asia/Bangkok
Nakhon Sawan,Thailand|Asia/Bangkok
Saraburi,Thailand|Asia/Bangkok
Mukdahan,Thailand|Asia/Bangkok
Prachin Buri,Thailand|Asia/Bangkok
Chiang Rai,Thailand|Asia/Bangkok
Chachoengsao,Thailand|Asia/Bangkok
Yala,Thailand|Asia/Bangkok
Roi Et,Thailand|Asia/Bangkok
Tak,Thailand|Asia/Bangkok
Chanthaburi,Thailand|Asia/Bangkok
Phetchabun,Thailand|Asia/Bangkok
Phrae,Thailand|Asia/Bangkok
Phatthalung,Thailand|Asia/Bangkok
Trang,Thailand|Asia/Bangkok
Kamphaeng Phet,Thailand|Asia/Bangkok
Chai Nat,Thailand|Asia/Bangkok
Si Sa Ket,Thailand|Asia/Bangkok
Nakhon Si Thammarat,Thailand|Asia/Bangkok
Maha Sarakham,Thailand|Asia/Bangkok
Khon Kaen,Thailand|Asia/Bangkok
Loburi,Thailand|Asia/Bangkok
Lamphun,Thailand|Asia/Bangkok
Trat,Thailand|Asia/Bangkok
Buri Ram,Thailand|Asia/Bangkok
Nakhon Pathom,Thailand|Asia/Bangkok
Kalasin,Thailand|Asia/Bangkok
Ratchaburi,Thailand|Asia/Bangkok
Satun,Thailand|Asia/Bangkok
Prachuap Khiri Khan,Thailand|Asia/Bangkok
Ang Thong,Thailand|Asia/Bangkok
Nakhon Nayok,Thailand|Asia/Bangkok
Suphan Buri,Thailand|Asia/Bangkok
Sing Buri,Thailand|Asia/Bangkok
Lampang,Thailand|Asia/Bangkok
Samut Songkhram,Thailand|Asia/Bangkok
Loei,Thailand|Asia/Bangkok
buogkan,Thailand|Asia/Bangkok
Mae Hong Son,Thailand|Asia/Bangkok
Nan,Thailand|Asia/Bangkok
Sa Kaeo,Thailand|Asia/Bangkok
Singapore,Singapore|Asia/Singapore
,Singapore|Asia/Singapore
,Brunei Darussalam|Asia/Brunei
All Regions,Brunei Darussalam|Asia/Brunei
North Island 1,New Zealand|Pacific/Auckland
,New Zealand|Pacific/Auckland
South Island,New Zealand|Pacific/Auckland
Alaska,New Zealand|Pacific/Auckland
,Guam|Pacific/Guam
Hawaii,Guam|Pacific/Guam
All Regions,Guam|Pacific/Guam
Virginia,Guam|America/New_York
,Papua New Guinea|Pacific/Port_Moresby
All Regions,Papua New Guinea|Pacific/Port_Moresby
,Vanuatu|Pacific/Efate
,American Samoa|Pacific/Pago_Pago
South Province,New Caledonia|Pacific/Noumea
,Cook Islands|Pacific/Rarotonga
,Micronesia|Pacific/Chuuk
,Palau|Etc/GMT-9
,Algeria|Africa/Algiers
All Regions,Morocco|Africa/Casablanca
,Morocco|Africa/Casablanca
,Senegal|Africa/Dakar
,Mauretania|Africa/Nouakchott
,Guinea|Africa/Conakry
,Ivory Coast|Africa/Abidjan
All Regions,Ivory Coast|Africa/Abidjan
,Burkina Faso|Africa/Ouagadougou
,Togo|Africa/Lome
,Mauritius|Indian/Mauritius
Pamplemousses,Mauritius|Indian/Mauritius
,Liberia|Africa/Monrovia
,Ghana|Africa/Accra
,Nigeria|Africa/Lagos
All Regions,Nigeria|Africa/Lagos
,Chad|Africa/Ndjamena
,Central African Republic|Africa/Bangui
,Cameroon|Africa/Douala
All Regions,Cape Verde|Atlantic/Cape_Verde
,Sudan|Africa/Khartoum
,Djibouti|Africa/Djibouti
,Kenya|Africa/Nairobi
All Regions,Kenya|America/Sao_Paulo
,Tanzania|Africa/Dar_es_Salaam
,Mozambique|Africa/Maputo
,Zambia|Africa/Lusaka
,Madagascar|Indian/Antananarivo
,Reunion|Indian/Reunion
All Regions,Reunion|Indian/Reunion
,Zimbabwe|Africa/Harare
,Namibia|Africa/Windhoek
,Swasiland|Africa/Mbabane
,South Africa|Africa/Johannesburg
Gauteng,South Africa|Africa/Johannesburg
Cape,South Africa|Africa/Johannesburg
Kwazulu-Natal,South Africa|Africa/Johannesburg
Eastern Cape,South Africa|Africa/Johannesburg
Freestate,South Africa|Africa/Johannesburg
,Ascension Island|Atlantic/St_Helena
,Belize|America/Belize
Cayo District,Belize|America/Belize
Belize District,Belize|America/Belize
Corozal District,Belize|America/Belize
Stann Creek District,Belize|America/Belize
,Guatemala|America/Guatemala
All Regions,Guatemala|America/Sao_Paulo
,El Salvador|America/El_Salvador
All Regions,El Salvador|America/El_Salvador
Cortes y Yoro,Honduras|America/Tegucigalpa
Comayagua,Honduras|America/Tegucigalpa
,Honduras|America/Tegucigalpa
,Nicaragua|America/Managua
Managua,Nicaragua|America/Managua
Not Listed,Nicaragua|America/Managua
,Costa Rica|America/Costa_Rica
San Carlos,Costa Rica|America/Costa_Rica
Alajuela,Costa Rica|America/Costa_Rica
San Jose,Costa Rica|America/Costa_Rica
Heredia,Costa Rica|America/Costa_Rica
Cartago,Costa Rica|America/Costa_Rica
Guanacaste,Costa Rica|America/Costa_Rica
Puntarenas,Costa Rica|America/Costa_Rica
Panama,Panama|America/Panama
Colon,Panama|America/Panama
,Panama|America/Panama
Lima,Peru|America/Lima
Arequipa,Peru|America/Lima
La Libertad,Peru|America/Lima
Moquequa,Peru|America/Lima
,Peru|America/Lima
Piura,Peru|America/Lima
Caba,Argentina Republic|America/Argentina/Buenos_Aires
Ciudad de Buenos Aires,Argentina Republic|America/Argentina/Buenos_Aires
,Argentina Republic|America/Argentina/Mendoza
Santa Fe,Argentina Republic|America/Argentina/Cordoba
Cordoba,Argentina Republic|America/Argentina/Cordoba
Santa Cruz,Argentina Republic|America/Tegucigalpa
Ciudad De Buenos Aires,Argentina Republic|America/Argentina/Buenos_Aires
Rio Negro,Argentina Republic|America/Argentina/Mendoza
Neuquen,Argentina Republic|America/Argentina/Mendoza
Mendoza,Argentina Republic|America/Argentina/Mendoza
Tierra del Fuego,Argentina Republic|America/Argentina/Mendoza
Tucuman,Argentina Republic|America/Argentina/Cordoba
Chaco,Argentina Republic|America/Argentina/Mendoza
Entre Rios,Argentina Republic|America/Argentina/Mendoza
Chubut,Argentina Republic|America/Argentina/Mendoza
South Dakota,Argentina Republic|America/Argentina/Mendoza
Santiago del Estero,Argentina Republic|America/Argentina/Mendoza
La Pampa,Argentina Republic|America/Tegucigalpa
Arkansas,Argentina Republic|America/Chicago
Corrientes,Argentina Republic|America/Argentina/Mendoza
San Juan,Argentina Republic|America/Argentina/Mendoza
La Rioja,Argentina Republic|America/Argentina/Mendoza
Salta,Argentina Republic|Europe/Moscow
Catamarca,Argentina Republic|America/Argentina/Mendoza
Jujuy,Argentina Republic|America/Argentina/Mendoza
Mississippi,Argentina Republic|Asia/Nicosia
Formosa,Argentina Republic|America/Argentina/Mendoza
San Luis,Argentina Republic|America/Argentina/Mendoza
Tierra Del Fuego,Argentina Republic|America/Argentina/Mendoza
,Brazil|America/Cuiaba
Rio de Janeiro,Brazil|America/Sao_Paulo
Sao Paulo,Brazil|America/Sao_Paulo
Distrito Federal,Brazil|America/Sao_Paulo
Rio Grande do Sul,Brazil|America/Sao_Paulo
Minas Gerais,Brazil|America/Sao_Paulo
Acre,Brazil|America/Rio_Branco
Parana,Brazil|America/Sao_Paulo
Santa Catarina,Brazil|America/Sao_Paulo
Amazonas,Brazil|America/Manaus
Paraiba,Brazil|America/Fortaleza
Pernambuco,Brazil|America/Recife
Goias,Brazil|America/Sao_Paulo
Bahia,Brazil|America/Bahia
Espirito Santo,Brazil|America/Sao_Paulo
Sergipe,Brazil|America/Maceio
Ceara,Brazil|America/Fortaleza
Tocantins,Brazil|America/Araguaina
Maranhao,Brazil|America/Fortaleza
Para,Brazil|America/Santarem
Mato Grosso,Brazil|America/Cuiaba
Rio Grande do Norte,Brazil|America/Fortaleza
Mato Grosso do Sul,Brazil|America/Campo_Grande
Sao Paulo,BRAZIL|America/Sao_Paulo
Piaui,Brazil|America/Fortaleza
Amapa,Brazil|America/Belem
Rondonia,Brazil|America/Porto_Velho
Rio De Janeiro,Brazil|America/Sao_Paulo
Montana,Brazil|America/Belem
Alagoas,Brazil|America/Maceio
Roraima,Brazil|America/Boa_Vista
South Carolina,Brazil|America/New_York
SERGIPE,Brazil|America/Maceio
,Chile|America/Santiago
Antofagasta,Chile|America/Santiago
Reg.Metr. de Santiago,Chile|America/Santiago
Coquimbo,Chile|America/Santiago
Tarapac,Chile|America/Santiago
Los Lagos,Chile|America/Santiago
Atacama,Chile|America/Santiago
Magallanes,Chile|America/Punta_Arenas
Maule,Chile|America/Santiago
Valparaiso,Chile|America/Santiago
Bio Bio,Chile|America/Santiago
La Araucania,Chile|America/Santiago
Colchagua,Chile|America/Santiago
Aisen,Chile|America/Santiago
Reg.Metr. De Santiago,Chile|America/Santiago
Antioquia,Colombia|America/Bogota
Cundinamarca,Colombia|America/Bogota
Valle Del Cauca,Colombia|America/Bogota
Valle del Cauca,Colombia|America/Bogota
Magdalena,Colombia|America/Bogota
Boyaca,Colombia|America/Bogota
Quindio,Colombia|America/Bogota
Santander,Colombia|America/Bogota
Huila,Colombia|America/Bogota
La Guajira,Colombia|America/Bogota
Bolivar,Colombia|America/Bogota
,Colombia|America/Bogota
Casnare,Colombia|America/Bogota
Tolima,Colombia|America/Bogota
Cauca,Colombia|America/Bogota
Caldas,Colombia|America/Bogota
San Andres Y Providencia,Colombia|Etc/GMT+5
Rosaralda,Colombia|America/Bogota
San Andres y Providencia,Colombia|Etc/GMT+5
Atlantico,Colombia|America/Bogota
Sucre,Colombia|America/Bogota
Cesar,Colombia|America/Bogota
Putumayo,Colombia|America/Bogota
Amazonas,Colombia|America/Bogota
Caqueta,Colombia|America/Bogota
Meta,Colombia|America/Bogota
Cordoba,Colombia|America/Bogota
,Venezuela|America/Caracas
Anzoategui,Venezuela|America/Caracas
Distrito Capital,Venezuela|America/Caracas
Aragua,Venezuela|America/Caracas
Carabobo,Venezuela|America/Caracas
Miranda,Venezuela|America/Caracas
Tachira,Venezuela|America/Caracas
Zulia,Venezuela|America/Caracas
Falcon,Venezuela|America/Caracas
Monagas,Venezuela|America/Caracas
Lara,Venezuela|America/Caracas
Nueva Esparta,Venezuela|America/Caracas
Virginia,Venezuela|America/Havana
Barinas,Venezuela|America/Caracas
Trujillo,Venezuela|America/Caracas
Merida,Venezuela|America/Caracas
All Regions,Bolivia|America/La_Paz
Georgetown,Guyana|America/Guyana
,Guyana|America/Guyana
,Ecuador|America/Guayaquil
All Regions,Ecuador|America/Guayaquil
Amabay,Paraguay|America/Asuncion
,Paraguay|America/Asuncion
Asuncion ,Paraguay|America/Asuncion
,Suriname|America/Paramaribo
,Uruguay|America/Montevideo
Colonia,Uruguay|America/Montevideo
Maldonado,Uruguay|America/Montevideo
Rocha,Uruguay|America/Montevideo
Flores,Uruguay|America/Montevideo
Canelones,Uruguay|America/Montevideo
Cerro Largo,Uruguay|America/Montevideo
Lavalleja,Uruguay|America/Montevideo
Salto,Uruguay|America/Montevideo
Soriano,Uruguay|America/Montevideo
Treinta y Tres,Uruguay|America/Montevideo
San Jose,Uruguay|America/Montevideo
Rio Negro,Uruguay|America/Montevideo
Rivera,Uruguay|America/Montevideo
